state,bill_id,novelty_score_crossstate,novelty_score_corpus,cross_max_similarity,closest_cross_state_partner,delta_B_minus_A
Alabama,SB 261,0.628044,0.628044,0.371956,Utah SB 97,0.0
Arizona,SB 1473,0.608736,0.608736,0.391264,Mississippi HB 1671,0.0
Arizona,HB 2564,0.661787,0.661787,0.338213,Virginia SB 975,0.0
Arkansas,HR 1010,0.635363,0.631434,0.364637,West Virginia HB 2002,0.003929
Arkansas,SB 138,0.836099,0.667969,0.163901,North Dakota SB 2150,0.16813
Arkansas,SB 307,0.874706,0.814124,0.125294,Idaho HJM 2,0.060582
Arkansas,SB 286,0.711297,0.631434,0.288703,West Virginia HB 2002,0.079863
Arkansas,SB 384,0.890441,0.763608,0.109559,Illinois HB 1596,0.126833
Arkansas,SB 446,0.791257,0.791257,0.208743,Louisiana HR 14,0.0
Arkansas,SB 463,0.904865,0.775137,0.095135,Arizona HB 2564,0.129728
Arkansas,SB 466,0.931608,0.760538,0.068392,Idaho SB 1044,0.17107
Arkansas,SB 495,0.704483,0.6487,0.295517,Illinois HB 3762,0.055783
Arkansas,SB 542,0.771168,0.76318,0.228832,South Carolina SB 474,0.007987
Arkansas,HB 1786,0.864322,0.667969,0.135678,South Carolina SB 474,0.196352
Arkansas,SB 465,0.78612,0.6487,0.21388,Minnesota SB 2995,0.13742
California,AR 6,0.735707,0.06902,0.264293,Idaho HJM 2,0.666687
California,SR 9,0.748897,0.06902,0.251103,Idaho HJM 2,0.679877
California,SR 41,0.851631,0.851631,0.148369,Idaho HJM 2,0.0
California,AB 100,0.584457,0.557214,0.415543,New York AB 3003,0.027243
California,SB 101,0.676297,0.557214,0.323703,New York AB 3003,0.119084
California,AB 118,0.747571,0.612323,0.252429,Virginia SB 975,0.135248
California,AB 1029,0.804715,0.804715,0.195285,Colorado HB 1218,0.0
California,SB 385,0.822513,0.80134,0.177487,Michigan HR 123,0.021172
California,AB 1707,0.881387,0.663807,0.118613,Hawaii SB 1,0.217581
California,AB 2527,0.831111,0.815298,0.168889,Virginia SB 975,0.015813
California,AB 352,0.72561,0.687399,0.27439,Maryland SB 786,0.03821
California,AB 571,0.640505,0.640505,0.359495,Vermont SB 37,0.0
California,SB 345,0.534679,0.534679,0.465321,Vermont SB 37,0.0
California,SB 487,0.871539,0.612323,0.128461,Hawaii SB 1,0.259216
California,AB 3281,0.713537,0.67756,0.286463,Virginia SB 798,0.035977
California,AB 1194,0.693519,0.693519,0.306481,Connecticut SB 3,0.0
California,SB 887,0.66741,0.66741,0.33259,Virginia SB 975,0.0
Colorado,HM 1002,0.936685,0.841623,0.063315,California SR 41,0.095062
Colorado,SB 188,0.513287,0.513287,0.486713,Vermont SB 37,0.0
Colorado,SB 190,0.878363,0.686401,0.121637,Kansas HB 2264,0.191962
Colorado,HB 1218,0.672683,0.672683,0.327317,Vermont SB 37,0.0
Connecticut,SB 3,0.628687,0.628687,0.371313,Washington HB 1155,0.0
Delaware,SB 158,0.85684,0.85684,0.14316,Idaho SB 1044,0.0
Delaware,SB 301,0.831888,0.831888,0.168112,Maryland SB 341,0.0
Florida,SB 300,0.727342,0.727342,0.272658,Michigan HR 123,0.0
Hawaii,SB 1,0.707177,0.707177,0.292823,New Jersey AB 3975,0.0
Hawaii,HR 57,0.830824,0.645261,0.169176,Idaho HJM 2,0.185563
Hawaii,HR 107,0.792657,0.779577,0.207343,Virginia SB 975,0.013081
Hawaii,HR 118,0.794622,0.645261,0.205378,Vermont SB 37,0.149361
Idaho,HJM 2,0.735707,0.735707,0.264293,California AR 6,0.0
Idaho,SB 1044,0.67645,0.609744,0.32355,Missouri HB 1155,0.066706
Idaho,HB 374,0.716191,0.662123,0.283809,South Carolina SB 474,0.054068
Idaho,HB 242,0.842815,0.609744,0.157185,New Jersey AB 5096,0.233071
Illinois,HB 1596,0.670548,0.670548,0.329452,Virginia SB 798,0.0
Illinois,HB 3762,0.671535,0.671535,0.328465,New Jersey AB 5096,0.0
Illinois,SB 1909,0.73245,0.73245,0.26755,Vermont SB 37,0.0
Illinois,SB 1344,0.7482,0.7482,0.2518,Virginia SB 975,0.0
Illinois,SB 1561,0.891549,0.773738,0.108451,Minnesota SB 2995,0.11781
Indiana,HB 1568,0.879759,0.879759,0.120241,New Jersey SB 3275,0.0
Iowa,HB 732,0.594774,0.594774,0.405226,South Carolina SB 474,0.0
Kansas,HB 2100,0.820009,0.809217,0.179991,Alabama SB 261,0.010793
Kansas,HB 2358,0.811782,0.811782,0.188218,Missouri SB 157,0.0
Kansas,HB 2313,0.75365,0.344298,0.24635,Montana HB 625,0.409352
Kansas,HB 2184,0.737124,0.737124,0.262876,Louisiana HB 1,0.0
Kansas,HB 2264,0.705041,0.705041,0.294959,South Carolina SB 474,0.0
Kansas,HB 2002,0.720539,0.720539,0.279461,Virginia SB 798,0.0
Kansas,HB 2060,0.825599,0.806775,0.174401,Virginia SB 975,0.018824
Kansas,HB 2436,0.726766,0.726766,0.273234,Illinois HB 3762,0.0
Kansas,HB 2749,0.83353,0.344298,0.16647,Virginia SB 975,0.489232
Kentucky,SR 20,0.89192,0.89192,0.10808,Arkansas SB 307,0.0
Kentucky,HB 170,0.802641,0.802641,0.197359,Virginia SB 975,0.0
Louisiana,HR 14,0.791257,0.770581,0.208743,Arkansas SB 446,0.020676
Louisiana,SB 41,0.754635,0.735777,0.245365,Mississippi HB 1671,0.018858
Louisiana,HB 1,0.673423,0.673423,0.326577,Nebraska LB 814,0.0
Maine,HB 1343,0.956284,0.668131,0.043716,Minnesota HB 1,0.288153
Maine,HB 616,0.734396,0.734396,0.265604,Vermont SB 37,0.0
Maine,HB 935,0.792618,0.437008,0.207382,Washington SB 5242,0.35561
Maine,HB 995,0.915721,0.437008,0.084279,California AB 118,0.478713
Maine,HB 263,0.864955,0.540724,0.135045,Minnesota SB 2995,0.324231
Maine,HB 1619,0.879672,0.60554,0.120328,Virginia SB 975,0.274132
Maine,HB 2010,0.815004,0.540724,0.184996,California SB 887,0.27428
Maryland,HB 200,0.686543,0.686543,0.313457,Nebraska LB 814,0.0
Maryland,SB 341,0.831888,0.789843,0.168112,Delaware SB 301,0.042045
Maryland,SB 786,0.67308,0.60166,0.32692,Vermont SB 37,0.071419
Maryland,SB 859,0.640324,0.60166,0.359676,Colorado SB 188,0.038663
Michigan,SB 4,0.896438,0.394004,0.103562,Virginia SB 798,0.502434
Michigan,HB 4006,0.961499,0.320919,0.038501,Washington SB 5242,0.640581
Michigan,HB 4032,0.937136,0.35098,0.062864,New Jersey AB 5096,0.586155
Michigan,SB 2,0.970993,0.320919,0.029007,Washington SB 5242,0.650074
Michigan,HR 72,0.862999,0.8365,0.137001,Hawaii HR 57,0.026499
Michigan,SB 147,0.939008,0.394004,0.060992,Virginia SB 798,0.545004
Michigan,HR 123,0.727342,0.727342,0.272658,Florida SB 300,0.0
Michigan,SB 216,0.839076,0.821293,0.160924,New Jersey AB 5096,0.017782
Michigan,SB 68,0.887493,0.35098,0.112507,Illinois HB 3762,0.536512
Michigan,SB 474,0.721511,0.721511,0.278489,Utah HB 467,0.0
Michigan,SB 476,0.893028,0.696342,0.106972,Montana HB 625,0.196686
Michigan,SB 477,0.88007,0.696342,0.11993,Maryland SB 341,0.183727
Michigan,HB 4949,0.594234,0.594234,0.405766,Nevada SJR 7,0.0
Michigan,HB 4951,0.831375,0.831375,0.168625,Kansas HB 2184,0.0
Michigan,HB 4953,0.953447,0.675175,0.046553,California AB 3281,0.278273
Michigan,HB 4955,0.897777,0.784097,0.102223,Kansas HB 2358,0.11368
Minnesota,HB 1,0.780292,0.780292,0.219708,Nevada SJR 7,0.0
Minnesota,SB 2995,0.748393,0.748393,0.251607,Virginia SB 975,0.0
Mississippi,SR 539,0.916453,0.817667,0.083547,Arkansas SB 446,0.098786
Mississippi,HB 1125,0.810492,0.556296,0.189508,Arizona SB 1473,0.254195
Mississippi,HB 1149,0.727115,0.672154,0.272885,Illinois HB 1596,0.054961
Mississippi,HB 1390,0.903966,0.672154,0.096034,Virginia SB 798,0.231812
Mississippi,HB 1671,0.608736,0.556296,0.391264,Arizona SB 1473,0.05244
Mississippi,SB 2781,0.850983,0.69001,0.149017,Illinois HB 1596,0.160973
Missouri,SB 51,0.80244,0.386119,0.19756,Virginia SB 975,0.416321
Missouri,HB 11,0.765852,0.764424,0.234148,Nebraska LB 814,0.001428
Missouri,HB 1155,0.528693,0.386119,0.471307,Virginia SB 975,0.142574
Missouri,HB 402,0.583338,0.516351,0.416662,Virginia SB 975,0.066987
Missouri,SB 106,0.777613,0.382938,0.222387,Minnesota SB 2995,0.394675
Missouri,SB 157,0.704229,0.382938,0.295771,Virginia SB 975,0.321291
Montana,HB 786,0.851929,0.616273,0.148071,Missouri HB 402,0.235656
Montana,SB 112,0.757615,0.711925,0.242385,Arizona HB 2564,0.045691
Montana,HB 303,0.77564,0.688814,0.22436,Colorado HB 1218,0.086826
Montana,HB 575,0.800168,0.616273,0.199832,North Dakota SB 2150,0.183895
Montana,HB 625,0.75365,0.697085,0.24635,Kansas HB 2313,0.056566
Montana,SB 154,0.942499,0.755873,0.057501,California SR 9,0.186626
Montana,HB 544,0.851025,0.592655,0.148975,Utah HB 467,0.25837
Montana,HB 721,0.792178,0.697085,0.207822,Kansas HB 2264,0.095093
Montana,HB 862,0.917873,0.592655,0.082127,Washington SB 5187,0.325217
Montana,HB 937,0.771149,0.688814,0.228851,Virginia SB 975,0.082335
Nebraska,LB 574,0.829278,0.829278,0.170722,Arizona HB 2564,0.0
Nebraska,LB 814,0.673423,0.673423,0.326577,Louisiana HB 1,0.0
Nevada,SJR 7,0.594234,0.594234,0.405766,Michigan HB 4949,0.0
Nevada,AB 270,0.743281,0.743281,0.256719,Arizona HB 2564,0.0
Nevada,SB 370,0.193251,0.193251,0.806749,Washington HB 1155,0.0
New Jersey,AB 3975,0.707177,0.707177,0.292823,Hawaii SB 1,0.0
New Jersey,SB 3275,0.809346,0.786445,0.190654,Hawaii SB 1,0.022901
New Jersey,AB 5096,0.671535,0.671535,0.328465,Illinois HB 3762,0.0
New Mexico,HB 7,0.627262,0.450852,0.372738,Vermont SB 37,0.17641
New Mexico,SB 13,0.548394,0.450852,0.451606,Vermont SB 37,0.097541
New York,SB 1351,0.917055,0.58311,0.082945,Hawaii SB 1,0.333945
New York,AB 1395,0.835378,0.818615,0.164622,Delaware SB 301,0.016764
New York,SB 4007,0.843693,0.843693,0.156307,Minnesota SB 2995,0.0
New York,AB 3003,0.584457,0.584457,0.415543,California AB 100,0.0
New York,AR 2311,0.846313,0.607655,0.153687,Louisiana HR 14,0.238658
New York,AR 671,0.879837,0.607655,0.120163,California SR 41,0.272182
New York,SB 1066,0.658852,0.58311,0.341148,Maryland SB 859,0.075742
North Carolina,SB 20,0.665492,0.560361,0.334508,North Dakota SB 2150,0.10513
North Carolina,HB 190,0.754484,0.560361,0.245516,California AB 118,0.194123
North Carolina,HB 259,0.715083,0.700613,0.284917,California AB 100,0.01447
North Dakota,SB 2225,0.761709,0.761709,0.238291,New Jersey AB 5096,0.0
North Dakota,HB 1171,0.875289,0.654356,0.124711,South Carolina SB 474,0.220932
North Dakota,SB 2150,0.665492,0.654356,0.334508,North Carolina SB 20,0.011135
North Dakota,SB 2129,0.861999,0.684547,0.138001,Texas HB 1575,0.177452
Ohio,HB 33,0.844111,0.844111,0.155889,Minnesota SB 2995,0.0
Ohio,SR 215,0.89442,0.89442,0.10558,Texas SR 650,0.0
Oklahoma,SB 293,0.775058,0.775058,0.224942,Montana HB 937,0.0
Oregon,HB 2002,0.761904,0.761904,0.238096,Vermont SB 37,0.0
Pennsylvania,HB 611,0.577315,0.577315,0.422685,Washington SB 5187,0.0
Rhode Island,HB 5006,0.807848,0.807848,0.192152,Virginia SB 1538,0.0
South Carolina,SR 1346,0.866337,0.866337,0.133663,North Carolina HB 259,0.0
South Carolina,SB 474,0.594774,0.594774,0.405226,Iowa HB 732,0.0
South Dakota,HB 1220,0.906477,0.906477,0.093523,North Dakota HB 1171,0.0
Tennessee,HJR 133,0.865141,0.841292,0.134859,Arkansas HR 1010,0.023849
Tennessee,HB 90,0.93664,0.550065,0.06336,Idaho HB 374,0.386575
Tennessee,SB 745,0.824574,0.550065,0.175426,Idaho HB 374,0.274508
Tennessee,HB 1895,0.866397,0.680063,0.133603,North Dakota SB 2150,0.186334
Texas,SR 650,0.857442,0.857442,0.142558,Arkansas SB 446,0.0
Texas,HB 1575,0.850036,0.39187,0.149964,Arkansas SB 465,0.458166
Texas,SB 30,0.777572,0.777572,0.222428,Pennsylvania HB 611,0.0
Texas,HB 1589,0.871347,0.325601,0.128653,Illinois HB 3762,0.545745
Texas,SB 2376,0.87285,0.437345,0.12715,California AB 3281,0.435505
Texas,SB 24,0.73848,0.39187,0.26152,Illinois HB 1596,0.34661
Texas,SB 840,0.872198,0.325601,0.127802,Illinois HB 3762,0.546597
Utah,HB 26,0.749382,0.749382,0.250618,Virginia SB 798,0.0
Utah,HB 297,0.808371,0.464587,0.191629,North Carolina SB 20,0.343784
Utah,SB 97,0.628044,0.628044,0.371956,Alabama SB 261,0.0
Utah,HB 467,0.703463,0.464587,0.296537,North Carolina SB 20,0.238877
Utah,SB 133,0.86424,0.78806,0.13576,Rhode Island HB 5006,0.07618
Utah,SB 208,0.782674,0.527809,0.217326,Arizona HB 2564,0.254865
Utah,SB 39,0.915579,0.527809,0.084421,Minnesota SB 2995,0.38777
Vermont,SB 37,0.513287,0.513287,0.486713,Colorado SB 188,0.0
Virginia,HJR 594,0.846568,0.846568,0.153432,Arkansas HR 1010,0.0
Virginia,SB 798,0.670548,0.660796,0.329452,Illinois HB 1596,0.009752
Virginia,SB 975,0.528693,0.513239,0.471307,Missouri HB 1155,0.015453
Virginia,SB 1538,0.769777,0.513239,0.230223,Minnesota SB 2995,0.256538
Washington,HB 2115,0.897009,0.731628,0.102991,Montana SB 112,0.165381
Washington,HB 1155,0.193251,0.193251,0.806749,Nevada SB 370,0.0
Washington,SB 5242,0.792618,0.704702,0.207382,Maine HB 935,0.087916
Washington,SB 5768,0.878504,0.704702,0.121496,Minnesota SB 2995,0.173802
Washington,SB 5187,0.577315,0.577315,0.422685,Pennsylvania HB 611,0.0
West Virginia,HB 2002,0.635363,0.635363,0.364637,Arkansas HR 1010,0.0
West Virginia,HB 3199,0.897782,0.736281,0.102218,Michigan SB 474,0.161501
West Virginia,HB 3302,0.759168,0.759168,0.240832,Virginia SB 798,0.0
West Virginia,SB 552,0.793735,0.736281,0.206265,North Carolina SB 20,0.057454
Wisconsin,SB 196,0.564001,0.564001,0.435999,Missouri HB 1155,0.0
Wyoming,HB 152,0.764302,0.441121,0.235698,South Carolina SB 474,0.323181
Wyoming,SB 109,0.882095,0.441121,0.117905,South Carolina SB 474,0.440973
