Variable,VIF
government_control_Unified Democratic,4.63664315029384
direction_clean_Protective,3.7257446647591617
mech_clean_Shield,3.599926837908828
direction_clean_Restrictive,2.900147513738055
government_control_Unified Republican,2.884163514631685
professionalism,2.784858294193016
mech_clean_Funding,2.4143194037554103
mech_clean_Definitional,2.346295990832977
mech_clean_Constitutional,2.0577803101560637
mech_clean_Criminal,1.7806107774083542
mech_clean_Proc_Expansion,1.5522441301733854
log_advocacy,1.438681626646354
