state_i,state_j,max_similarity,mean_similarity,squire_diff,squire_mean,partisan_align,both_unified_dem,both_unified_rep,same_policy_dir,both_protective,both_restrictive,pac_jaccard,contiguous,bill_count_product,gov_i,gov_j,lean_i,lean_j
Alabama,Arizona,0.08571691619663506,0.07498504274127638,0.0,0.169,0,0,0,1,0,1,0.3333333333333333,0,2,Unified Republican,Divided,restrictive,restrictive
Alabama,Arkansas,0.0566674226818972,0.03149951533154923,0.07100000000000001,0.1335,1,0,1,1,0,1,0.0,0,12,Unified Republican,Unified Republican,restrictive,restrictive
Alabama,California,0.12243350674713907,0.0487152805340284,0.563,0.4505,0,0,0,0,0,0,0.3333333333333333,0,17,Unified Republican,Unified Democratic,restrictive,protective
Alabama,Colorado,0.08741840538498963,0.0460179216538385,0.08099999999999999,0.20950000000000002,0,0,0,0,0,0,0.3333333333333333,0,4,Unified Republican,Unified Democratic,restrictive,protective
Alabama,Connecticut,0.07033655513000238,0.07033655513000238,0.0,0.169,0,0,0,0,0,0,0.3333333333333333,0,1,Unified Republican,Unified Democratic,restrictive,protective
Alabama,Delaware,0.0353441597134274,0.03325105437683624,0.016000000000000014,0.161,0,0,0,0,0,0,0.0,0,2,Unified Republican,Unified Democratic,restrictive,protective
Alabama,Florida,0.10145765909299495,0.10145765909299495,0.059,0.1985,1,0,1,1,0,1,0.3333333333333333,1,1,Unified Republican,Unified Republican,restrictive,restrictive
Alabama,Hawaii,0.06484021973270622,0.034692162366961855,0.143,0.2405,0,0,0,0,0,0,0.0,0,4,Unified Republican,Unified Democratic,restrictive,protective
Alabama,Idaho,0.08789587574955532,0.05226084248695215,0.07800000000000001,0.13,1,0,1,0,0,0,0.0,0,4,Unified Republican,Unified Republican,restrictive,mixed
Alabama,Illinois,0.06831972088559625,0.05737667334352629,0.18399999999999997,0.261,0,0,0,0,0,0,0.3333333333333333,0,5,Unified Republican,Unified Democratic,restrictive,protective
Alabama,Indiana,0.01577126458205458,0.01577126458205458,0.013999999999999985,0.176,1,0,1,0,0,0,0.3333333333333333,0,1,Unified Republican,Unified Republican,restrictive,protective
