state,bill_id,novelty,novelty_corpus,professionalism,gov_control,direction,mechanism,advocacy_raw,log_advocacy
Alabama,SB 261,0.628044,0.628044,0.162,Unified Republican,Restrictive,Funding,,
Arizona,SB 1473,0.608736,0.608736,0.306,Divided,Restrictive,Funding,,
Arizona,HB 2564,0.661787,0.661787,0.306,Divided,Restrictive,Proc_Ban,,
Arkansas,HR 1010,0.635363,0.631434,0.204,Unified Republican,Restrictive,Definitional,202212.0795472307,12.217077269664532
Arkansas,SB 138,0.836099,0.667969,0.204,Unified Republican,Protective,Proc_Expansion,202212.0795472307,12.217077269664532
Arkansas,SB 307,0.874706,0.814124,0.204,Unified Republican,Neutral,Constitutional,202212.0795472307,12.217077269664532
Arkansas,SB 286,0.711297,0.631434,0.204,Unified Republican,Restrictive,Proc_Ban,202212.0795472307,12.217077269664532
Arkansas,SB 384,0.890441,0.763608,0.204,Unified Republican,Restrictive,Funding,202212.0795472307,12.217077269664532
Arkansas,SB 446,0.791257,0.791257,0.204,Unified Republican,Restrictive,Definitional,202212.0795472307,12.217077269664532
Arkansas,SB 463,0.904865,0.775137,0.204,Unified Republican,Restrictive,Criminal,202212.0795472307,12.217077269664532
Arkansas,SB 466,0.931608,0.760538,0.204,Unified Republican,Restrictive,Proc_Ban,202212.0795472307,12.217077269664532
Arkansas,SB 495,0.704483,0.6487,0.204,Unified Republican,Restrictive,Criminal,202212.0795472307,12.217077269664532
Arkansas,SB 542,0.771168,0.76318,0.204,Unified Republican,Restrictive,Proc_Ban,202212.0795472307,12.217077269664532
Arkansas,HB 1786,0.864322,0.667969,0.204,Unified Republican,Restrictive,Proc_Ban,202212.0795472307,12.217077269664532
Arkansas,SB 465,0.78612,0.6487,0.204,Unified Republican,Restrictive,Funding,202212.0795472307,12.217077269664532
California,AR 6,0.735707,0.06902,0.732,Unified Democratic,Protective,Constitutional,0.0,0.0
California,SR 9,0.748897,0.06902,0.732,Unified Democratic,Neutral,Constitutional,0.0,0.0
California,SR 41,0.851631,0.851631,0.732,Unified Democratic,Protective,Constitutional,0.0,0.0
California,AB 100,0.584457,0.557214,0.732,Unified Democratic,Protective,Funding,0.0,0.0
California,SB 101,0.676297,0.557214,0.732,Unified Democratic,Protective,Funding,0.0,0.0
California,AB 118,0.747571,0.612323,0.732,Unified Democratic,Protective,Shield,0.0,0.0
California,AB 1029,0.804715,0.804715,0.732,Unified Democratic,Restrictive,Definitional,0.0,0.0
California,SB 385,0.822513,0.80134,0.732,Unified Democratic,Protective,Shield,0.0,0.0
California,AB 1707,0.881387,0.663807,0.732,Unified Democratic,Protective,Shield,0.0,0.0
California,AB 2527,0.831111,0.815298,0.732,Unified Democratic,Protective,Proc_Expansion,0.0,0.0
California,AB 352,0.72561,0.687399,0.732,Unified Democratic,Protective,Shield,0.0,0.0
California,AB 571,0.640505,0.640505,0.732,Unified Democratic,Protective,Funding,0.0,0.0
California,SB 345,0.534679,0.534679,0.732,Unified Democratic,Protective,Shield,0.0,0.0
California,SB 487,0.871539,0.612323,0.732,Unified Democratic,Protective,Shield,0.0,0.0
California,AB 3281,0.713537,0.67756,0.732,Unified Democratic,Protective,Shield,0.0,0.0
California,AB 1194,0.693519,0.693519,0.732,Unified Democratic,Protective,Shield,0.0,0.0
